Date,Open,High,Low,Close,Adj Close,Volume
2014-08-11,80.878502,81.361900,80.491699,80.975098,68.656593,631283
2014-08-12,81.410202,81.410202,80.540001,81.216904,68.861610,609918
2014-08-13,81.216904,81.700302,80.588402,81.603600,69.189484,1102546
2014-08-14,81.990303,82.377098,81.555298,82.086998,69.599335,1216008
2014-08-15,82.280403,82.908897,82.086998,82.522102,69.968246,1345792
2014-08-18,83.053902,83.053902,81.796997,82.377098,69.845314,763348
2014-08-19,82.618797,82.618797,80.298302,81.555298,69.148529,1831644
2014-08-20,81.748596,81.942001,80.685097,81.216904,68.861610,1165299
2014-08-21,81.506897,81.603600,80.781799,81.361900,68.984550,1284236
2014-08-22,81.506897,81.700302,81.216904,81.410202,69.025513,947429
2014-08-25,81.506897,81.603600,79.959900,80.491699,68.246727,1443803
2014-08-26,81.216904,81.361900,80.443398,80.878502,68.574692,1024486
2014-08-27,81.168503,81.168503,79.186401,79.573196,67.467964,1511756
2014-08-28,79.669899,80.008301,77.977898,79.138100,67.099045,2681390
2014-08-29,78.993103,80.685097,78.993103,79.911598,67.754875,2298952
2014-09-01,79.911598,81.506897,79.814903,80.733398,68.451653,1137604
2014-09-02,80.733398,81.313599,80.105003,80.201698,68.000854,1352895
2014-09-03,80.636703,81.216904,80.105003,81.168503,68.820572,1898026
2014-09-04,80.878502,80.878502,79.573196,79.863297,67.713921,2042682
2014-09-05,80.153297,80.153297,79.089798,79.331497,67.263031,2218953
2014-09-08,80.201698,80.250000,79.186401,79.573196,67.467964,1449801
2014-09-10,79.863297,79.863297,78.171204,78.606300,66.648148,1867865
2014-09-11,78.364601,79.138100,78.171204,78.703003,66.730148,1220369
2014-09-12,79.234802,79.234802,78.316299,78.799698,66.812119,1150502
2014-09-15,78.799698,78.944702,77.832802,77.977898,66.115349,1757483
2014-09-16,78.026199,80.056602,77.881203,78.944702,66.935066,2097461
2014-09-17,79.476501,79.573196,77.929497,78.557999,66.607201,1834049
2014-09-18,78.461304,78.461304,77.252701,78.171204,66.279251,2122582
2014-09-19,77.784500,77.784500,76.285797,76.865997,65.889046,6522659
2014-09-22,76.527496,76.865997,73.723602,75.609001,64.811562,3692395
2014-09-23,75.463997,76.334198,74.932198,75.415703,64.645866,1665117
2014-09-24,75.415703,77.349403,75.415703,76.382500,65.474602,1697484
2014-09-25,76.382500,76.865997,75.657402,75.802399,64.977341,1892303
2014-09-26,75.995796,75.995796,74.545502,74.690498,64.024231,2078896
2014-09-29,73.965401,74.738899,73.675301,74.061996,63.485466,2629779
2014-09-30,73.820297,74.642197,72.176697,73.820297,63.278294,3661825
2014-10-03,71.596497,74.787201,71.596497,74.545502,63.899933,4887138
2014-10-06,74.593803,75.222298,72.853500,74.738899,64.065720,2078631
2014-10-07,73.481903,75.657402,73.288597,74.642197,63.982811,2186406
2014-10-08,74.448799,75.222298,74.013702,74.255402,63.651257,1575696
2014-10-09,74.545502,75.609001,74.110397,75.367302,64.604385,935698
2014-10-10,74.400497,74.787201,74.013702,74.448799,63.817036,1270816
2014-10-13,74.255402,76.817596,74.255402,75.754097,64.935936,1787479
2014-10-14,75.850800,77.204399,74.738899,75.367302,64.604385,1381628
2014-10-15,75.367302,76.334198,74.448799,75.802399,64.977341,1560905
2014-10-16,75.705704,76.769302,75.125603,76.334198,65.433197,2334384
2014-10-17,76.334198,77.059303,75.995796,76.865997,65.889046,4085475
2014-10-20,77.155998,79.234802,76.865997,77.204399,66.179123,2267244
2014-10-21,76.817596,77.542801,75.995796,76.382500,65.474602,1058133
2014-10-22,77.349403,78.703003,77.011002,77.446098,66.386307,1112495
2014-10-23,77.494400,78.026199,76.575897,77.784500,66.676384,642392
2014-10-24,78.122902,78.122902,76.285797,76.479202,65.557487,903773
2014-10-27,76.092499,76.285797,74.980598,75.270599,64.521477,2092178
2014-10-28,75.560699,75.705704,73.723602,74.303802,63.692753,3531178
2014-10-29,74.303802,76.865997,74.061996,76.334198,65.433197,3111769
2014-10-30,77.832802,77.832802,76.430901,76.575897,65.640366,3192544
2014-10-31,78.461304,80.781799,77.881203,79.041397,67.753784,3255395
2014-11-03,79.186401,80.008301,78.606300,79.089798,67.795280,1000201
2014-11-04,78.799698,79.089798,78.026199,78.074501,66.924957,1576442
2014-11-05,78.026199,78.799698,77.542801,77.784500,66.676384,529540
2014-11-06,77.832802,78.848000,77.639503,77.832802,66.717781,400653
2014-11-07,77.591103,78.364601,76.962601,77.107697,66.096222,848656
2014-11-10,80.008301,80.443398,76.769302,76.962601,65.971855,1726843
2014-11-11,76.479202,77.736099,75.899101,77.155998,66.137627,742088
2014-11-12,77.155998,77.542801,76.285797,77.107697,66.096222,1310076
2014-11-13,77.397697,79.573196,77.397697,79.283096,67.960968,2501256
2014-11-14,78.606300,80.105003,78.219597,79.959900,68.541122,1867075
2014-11-17,80.443398,80.685097,78.267899,80.201698,68.748390,2008135
2014-11-18,80.250000,80.685097,79.814903,80.491699,68.996971,2496038
2014-11-19,80.540001,80.975098,79.234802,80.250000,68.789787,1379522
2014-11-20,79.959900,80.830101,79.089798,79.959900,68.541122,1117272
2014-11-21,79.428200,80.443398,78.799698,79.863297,68.458313,5151726
2014-11-24,80.636703,81.506897,80.250000,81.023499,69.452835,1926815
2014-11-25,80.394997,81.651901,80.008301,81.265198,69.660011,1790382
2014-11-26,81.168503,81.700302,80.540001,81.361900,69.742897,1255242
2014-11-27,81.410202,81.893700,80.298302,80.975098,69.411331,1240075
2014-11-28,81.700302,81.700302,80.685097,81.265198,69.660011,781748
2014-12-01,79.959900,80.105003,77.977898,79.766602,68.375435,1679285
2014-12-02,79.041397,80.250000,78.267899,79.766602,68.375435,1576343
2014-12-03,78.896400,79.573196,78.751404,79.041397,67.753784,2726331
2014-12-04,79.428200,79.814903,77.639503,79.138100,67.836678,2333217
2014-12-05,78.896400,80.636703,78.751404,79.089798,67.795280,2855113
2014-12-08,79.186401,80.153297,79.089798,79.331497,68.002449,695622
2014-12-09,78.509598,79.283096,77.349403,77.349403,66.303421,2141354
2014-12-10,78.606300,78.654701,77.155998,77.252701,66.220520,1609318
2014-12-11,76.285797,77.977898,74.497101,77.204399,66.179123,2237078
2014-12-12,76.237503,77.107697,75.802399,76.575897,65.640366,1566196
2014-12-15,76.044098,76.914299,75.512299,76.430901,65.516083,1087894
2014-12-16,76.237503,78.267899,76.237503,77.784500,66.676384,2491551
2014-12-17,77.736099,77.736099,75.995796,76.430901,65.516083,3885801
2014-12-18,75.609001,76.914299,75.609001,76.769302,65.806168,2145777
2014-12-19,75.802399,77.397697,75.802399,76.865997,65.889046,2139996
2014-12-22,77.155998,77.301003,76.382500,77.011002,66.013336,1154711
2014-12-23,76.189102,77.252701,76.044098,77.155998,66.137627,902381
2014-12-24,77.542801,77.542801,76.140800,77.107697,66.096222,551948
2014-12-29,77.397697,79.186401,77.349403,77.881203,66.759270,964719
2014-12-30,77.301003,78.799698,77.204399,77.591103,66.510605,812966
2014-12-31,77.687798,78.509598,77.349403,78.364601,67.173637,388626
2015-01-02,78.509598,78.509598,76.092499,78.026199,66.883560,1081844
2015-01-05,77.736099,77.736099,75.609001,76.382500,65.474602,1487161
2015-01-06,75.899101,76.769302,75.319000,75.560699,64.770149,2364460
2015-01-07,75.028900,75.415703,74.448799,74.545502,63.899933,3520266
2015-01-08,75.609001,76.479202,74.932198,76.382500,65.474602,2499981
2015-01-09,77.349403,77.832802,76.720901,77.349403,66.303421,2338335
2015-01-12,78.026199,78.122902,77.301003,77.784500,66.676384,869077
2015-01-13,77.784500,78.316299,77.155998,78.122902,66.966454,812292
2015-01-14,77.977898,78.171204,77.494400,77.832802,66.717781,1724773
2015-01-15,78.412903,79.863297,78.316299,78.654701,67.422302,1800711
2015-01-16,79.089798,79.089798,77.977898,78.122902,66.966454,2764066
2015-01-19,78.122902,79.283096,78.026199,79.234802,67.919571,2633628
2015-01-20,79.283096,80.443398,78.557999,79.911598,68.499702,2422184
2015-01-21,80.153297,81.265198,80.008301,81.120201,69.535713,2371622
2015-01-22,81.700302,81.893700,80.056602,80.926804,69.369942,2037156
2015-01-23,82.038696,82.715500,81.555298,82.522102,70.737419,2406961
2015-01-26,81.942001,83.053902,81.216904,81.555298,69.908684,1956961
2015-01-27,82.908897,82.908897,81.313599,81.361900,69.742897,1502304
2015-01-28,81.748596,83.053902,81.700302,82.908897,71.068985,2470021
2015-01-29,83.488998,85.954498,82.570503,85.857803,73.596756,4780297
2015-01-30,86.002899,89.290199,85.857803,89.193497,76.456093,7175479
2015-02-02,88.468399,89.918701,86.292900,87.018097,74.591354,3060562
2015-02-03,86.679703,91.223900,86.679703,90.257103,77.367813,4787520
2015-02-04,90.015404,90.257103,88.033302,88.710098,76.041733,1288886
2015-02-05,89.145203,91.175598,88.129997,88.806801,76.124626,2897879
2015-02-06,89.096802,89.531898,87.356499,87.888298,75.337296,2961417
2015-02-09,87.356499,88.371696,85.906197,86.099503,73.803940,2154087
