Date,Open,High,Low,Close,Adj Close,Volume,HH,LL,Volume_chg,Intra_ret,Return_1D,Return_3D,SMA_5D,SMA_13D,SMA_21D,SD_5D,SD_13D,SD_21D,EMA_5D,EMA_13D,EMA _21D,AutoCorr_1,AutoCorr_5,AutoCorr_13,GARCH,CCI,CCI_5D_mean,CCI_5D_std,CCI_13D_mean,CCI_13D_std,CCI_21D_mean,CCI_21D_std,MACD,MACD_signal,MACD_hist,RSI,RSI_5D_mean,RSI_5D_std,RSI_13D_mean,RSI_13D_std,RSI_21D_mean,RSI_21D_std,Will_R,ADX,TRIX,OBV,OBV_chg,PX_slope,PX_slope_chg,s_High,s_Low,s_Close,s_HH,s_LL
2014-08-11,7.6,7.62,7.53,7.59,5.85492,52271213,,,,0.0013166558847469028,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0,,0.0,,1.0026315789473685,0.9907894736842106,0.9986842105263158,,
2014-08-12,7.73,7.73,7.51,7.57,5.839492,74524055,,,0.4257188751292227,0.020915795149973257,-0.0026350461133068936,,,,,,,,-0.0026350461133068936,-0.0026350461133068936,-0.0026350461133068936,,,,0.0,,,,,,,,-0.0015954415954420043,-0.00031908831908840086,-0.0012763532763536034,,,,,,,,,,-0.039974625481876296,-74524055,-inf,0.0,0.0,1.0,0.9715394566623544,0.9793014230271668,,
2014-08-13,7.66,7.72,7.54,7.71,5.947488,73614945,,,-0.012198879945542362,-0.006506203822738167,0.018494055482166427,,,,,,,,0.0100424148439771,0.008742162438101816,0.008432578531941036,,,,0.3533390711538777,,,,,,,,0.008340841389273379,0.0014128976225839553,0.0069279437666894235,,,,,,,,,,0.07087495003752846,-909110,-0.9878011200544576,0.0,0.0,1.0078328981723237,0.9843342036553525,1.006527415143603,,
2014-08-14,7.72,7.72,7.58,7.64,5.89349,66514103,,,-0.09645924479057888,0.01041676085825558,-0.00907911802853445,0.006566011770890454,,,,,,,0.0009848466412084721,0.0018662353289271942,0.0020310217832475806,,,,0.4848407223305172,,,,,,,,0.010446580577990972,0.0032196342136653587,0.007226946364325613,,,,,,,,,,0.07238953044806402,-67423213,73.16397685648602,0.0,0.0,1.0,0.9818652849740933,0.9896373056994818,,
2014-08-15,7.61,7.68,7.55,7.62,5.878062,57236986,,,-0.13947593941092462,-0.001313197824960361,-0.002617801047120394,0.006583302249197396,,,,,,,-0.0005116377831742873,0.0004743579741902509,0.0006977782608989976,,,,0.5486958343789647,,,,,,,,0.010381885291908866,0.004652084429314061,0.005729800862594805,,,,,,,,,,0.05895090119032005,-124660199,0.8489210681786998,0.0,0.0,1.0091984231274638,0.9921156373193166,1.0013140604467805,,
2014-08-18,7.6,7.67,7.51,7.58,5.847206,86921838,,,0.5186305931622606,0.002635047638005032,-0.005249343832021025,-0.01700498792095777,-0.00021745070776326702,,,0.010788605207698435,,,-0.002330378019935357,-0.0010473570116045971,-0.0007284361264565256,,,,0.620397827477724,,,,,,,,0.0070220028279770474,0.005126068109046658,0.0018959347189303893,,,,,,,,,,0.0404922933365541,-211582037,0.6972701688050409,0.0,0.0,1.0092105263157896,0.9881578947368421,0.9973684210526317,,
2014-08-19,7.7,7.72,7.61,7.68,5.924346,76220813,,,-0.12311089187966784,0.0026007817000574403,0.01319261213720302,0.005221943981151625,0.0029480809423387154,,,0.012139378836377543,,,0.0033419326690640795,0.0023238367889674254,0.0021773597132899534,,,,0.7882834828367202,,,,,,,,0.012286801435118733,0.006558214774261073,0.005728586660857659,,,,,,,,,,0.03666107585398898,-135361224,-0.3602423631076016,0.0,0.0,1.0025974025974025,0.9883116883116884,0.9974025974025973,,
2014-08-20,7.71,7.71,7.57,7.65,5.901204,61463904,,,-0.19360734186868356,0.007812539736793625,-0.003906249999999889,0.003929278139889557,-0.0015319801540945477,,,0.008579158835043486,,,0.0007756746963843164,0.0009755033778170624,0.0010413534467975012,,,,0.825640184755108,,,,,,,,0.013878460726354902,0.00802226396467984,0.005856196761675063,,,,,,,,,,0.03428890112446343,-196825128,0.4540731989834843,0.0,0.0,1.0,0.9818417639429313,0.9922178988326849,,
2014-08-21,7.63,7.63,7.49,7.59,5.85492,92456495,,,0.5042405213961028,0.005256253888827123,-0.007843137254902044,0.0013183917532582322,-0.0012847839993680664,,,0.008321264168206785,,,-0.0022139116220079545,-0.0008022691741215621,-0.0004725962179594407,,,,0.891794101984627,,,,,,,,0.010181003353660678,0.008454011842476006,0.0017269915111846716,,,,,,,,,,0.027962901091613736,-289281623,0.4697392855245597,0.0,0.0,1.0,0.981651376146789,0.9947575360419397,,
2014-08-22,7.69,7.74,7.6,7.71,5.947488,76478439,,,-0.17281702058898074,-0.002597404057685506,0.015810276679841806,0.003898640415657323,0.0024008315460243733,,,0.011174962023004886,,,0.00395460850988064,0.002360906360100145,0.00209773726172531,,,,1.0844730150235815,,,,,,,,0.016740761784129532,0.010111361830806711,0.006629399953322821,,,,,,,,,,0.02856154965935018,-212803184,-0.26437365155407744,0.0,0.0,1.0065019505851756,0.9882964889466839,1.0026007802340702,,
